SEXO P1 P7 P16 P22 P26 P27 P29 P38 IMC
Hom 54.6 46.6 67 32.1 58.3 25.3 19 178.3 17.2
Hom 80.3 61.2 86.8 38.3 60.8 27.9 19.4 179.2 25
Hom 71.5 51.9 88.4 37.6 59.2 25.6 18.6 169.9 24.8
Hom 64.5 51.4 84.6 34.9 56 24.1 18.3 166.2 23.4
Hom 77.7 55.3 102.5 37.9 55.4 24.3 18.9 165.6 28.3
Hom 69.7 55.5 94.4 35.4 52.7 23.5 16.6 157.1 28.2
Hom 55.1 49 79 32.1 52 21.9 16 151.4 24
Hom 87.8 60.2 108 39.2 57.6 24.2 18.2 165.5 32.1
Hom 61.1 55.8 80.9 34.9 51.6 22.8 16.5 154.4 25.6
Hom 71.2 56.1 89.5 36.5 56.4 25.1 18.7 168.2 25.2
Hom 56.6 50.6 75.6 35.3 58.8 25 18.4 167.5 20.2
Hom 56.6 50.6 75.6 35.3 58.8 25 18.4 167.5 20.2
Hom 75 57.7 87 39.5 59.5 28.1 20.5 173.5 24.9
Hom 73.8 54.4 89.1 35.4 57.8 24.7 19 173.7 24.5
Hom 78.1 56 94.3 38.2 57.5 26.7 20.2 169.9 27.1
Hom 72.4 55.6 93 35.6 55.4 25.2 18.2 161.1 27.9
Hom 57.1 51.1 73.1 33.6 55.6 25.1 17.3 165.8 20.8
Hom 78.2 59.8 84 37 60 26.5 19.3 178.7 24.5
Hom 59.9 52.7 75.9 34.2 54.5 23.8 17.3 164.8 22.1
Hom 79.7 54.4 95.9 36.7 60.5 26.1 18.8 174.3 26.2
Hom 89.8 60.2 92.4 42.1 58.7 26.2 18.7 176.3 28.9
Hom 78.6 56.5 92 36.5 56.7 24.3 18.9 169.5 27.4
Hom 61.7 49.5 73.6 35.3 58.8 27.8 19.2 180.9 18.9
Hom 81.9 59.5 92.3 38 58.6 26.3 19.1 170.8 28.1
Hom 71.1 54.3 89.5 35.1 54.2 24.9 18.6 164.4 26.3
Hom 79.7 61.1 88.7 38.8 57.4 26.2 19 172.4 26.8
Hom 61.3 52.5 72.5 33.6 52.4 25.4 18.2 166.8 22
Hom 67.1 56.3 89.5 35.9 53.4 22 16.4 160.8 26
Hom 80.2 58 86.3 37.1 58.1 26.2 19.6 174.4 26.4
Hom 67.6 57.2 80.9 35.9 57 25.1 17.6 168.3 23.9
Hom 62.9 52.7 81.1 32 55.2 23.9 18.1 163.8 23.4
Hom 47.6 46.3 66.8 30.4 53.3 23.2 17.2 161.3 18.3
Hom 67.7 56.5 83.3 34.9 56.2 24.5 18.3 164.3 25.1
Hom 71.9 51.9 90.9 33.6 57.4 24.4 19.1 170.4 24.8
Hom 66.8 54.2 75.8 33.9 55.1 25.1 19.1 172.1 22.6
Hom 78.2 61.5 81.5 39.3 57.3 24.8 17.8 171.6 26.6
Hom 68.8 53.7 80.4 33.2 56.8 26 18 169.5 24
Hom 76.8 58.6 86.3 37 58.7 26.8 19.2 170 26.6
Hom 75.6 61.3 86.8 38.7 59 25.3 17.3 170.5 26
Hom 54.5 50.4 72.6 32.3 52.1 23.9 17.2 160.4 21.2
Hom 69 53.8 84.1 33.1 56.4 25 17.2 165 25.3
Hom 65.7 52.9 87.7 33.1 55.1 24.3 16.6 157.3 26.6
Hom 53.4 50.6 78.8 31.3 51 21.9 16.2 152.6 22.9
Hom 68.2 54.9 83.9 36.4 58 24.2 18.3 167.5 24.3
Hom 75.6 60.2 85.8 37.1 56.8 25 18.2 167.3 27
Hom 93.3 63.1 103.1 41 56.8 25.7 18.1 162.6 35.3
Hom 80.8 55.9 76.5 35.8 63 28.4 21 188.2 22.8
Hom 63.3 50.2 75.8 31.7 56.3 25.4 17.8 170.4 21.8
Hom 60.1 52.5 86.1 34 54.8 25 18.3 165.4 22
Hom 66 53 82.1 31.8 57.3 25 19.5 165.1 24.2
Hom 90.8 61.9 95 39.5 60 27.4 18.4 174.6 29.8
Hom 50.2 44.5 70.7 30.7 56.5 24.4 17.8 166.3 18.2
Hom 68.6 54.1 85.4 34.2 60 26 18.7 174.9 22.4
Hom 74.7 57.1 84.2 35.7 55.6 23.9 18.2 165.4 27.3
Hom 72.7 56.2 82.2 35.8 57.2 26 18.7 171 24.9
Hom 51.3 49.2 67.7 31.4 51.8 23.7 16.8 159 20.3
Hom 59.6 52 75.1 32.5 55.8 24 18.3 165.9 21.7
Hom 60.8 53.8 75 33.9 54.5 25.2 18.8 163.9 22.6
Hom 68.2 51.7 78.6 34.5 60.2 28.2 20 185.7 19.8
Hom 59.3 48.9 76 32.4 56.8 25.7 19 174.2 19.5
Hom 67 55.1 81.3 34.4 57.2 24.6 17.9 168.4 23.6
Hom 63 54.6 76.6 34.9 55.5 25.3 17.8 166.2 22.8
Hom 81.3 62.5 86.2 37.9 61.5 27.7 19.5 174.6 26.7
Hom 68.6 54.7 79.4 35.6 58.7 24.2 18.5 172.6 23
Hom 49.6 45.8 74.2 30.8 51.4 24.4 18.2 155.2 20.6
Hom 66.4 53.9 81.1 33.7 54.8 24.8 19 170.8 22.8
Hom 61.5 51.4 74.4 33.2 56.4 25.6 19.1 168.2 21.7
Hom 60.4 50.6 73.6 32.7 56.4 25 18.4 165.7 22
Hom 55.8 49.8 70.3 31.4 52.4 23.1 17.5 164.6 20.6
Hom 66.1 55.5 77.5 35.7 55.5 24.1 17.2 167.2 23.6
Hom 62.3 48.1 77.6 32.6 56.3 26.4 18.7 170.8 21.4
Hom 71.7 50.5 75.1 35.5 61.8 27.5 19 184.7 21
Hom 59.4 50.5 75.5 32 54.3 24.7 17.8 166.4 21.5
Hom 78.1 57.4 83.3 38.4 59.6 27.3 19.4 178.3 24.6
Hom 64.6 54.5 77.4 34.7 58.3 26.5 19.1 169.2 22.6
Hom 67.2 51.2 77 34.4 53.2 24.1 17.8 163.7 25.1
Hom 84.4 61.2 91.3 38.3 58.9 25.3 17.2 173.4 28.1
Hom 75.8 56 88.2 36.8 60.4 25.1 17.7 168.4 26.7
Hom 77.4 59.9 98.1 36.1 56.7 24.8 19.3 160.3 30.1
Hom 70.9 55.2 90.3 34.7 57.2 24.7 17.6 165.5 25.9
Hom 64.1 51 86.1 34.7 53.3 24.4 18 162.1 24.4
Hom 50.7 44 69 31.2 55.1 25 17.5 165.7 18.5
Hom 57 49.2 79 31 57.3 22.9 18.2 164.5 21.1
Hom 73.2 54.2 93.7 34.7 59 25.4 19 166.2 26.5
Hom 91.8 64.6 92.1 37.9 59 25.9 19 167.2 32.8
Hom 77.1 57.5 87.1 37.2 57.5 26.6 19 171.5 26.2
Hom 81.2 62.4 96.6 34.7 56.5 25.5 18.3 168.4 28.6
Hom 82.6 60.4 92.3 35.3 60.3 25.5 18.3 172.3 27.8
Hom 66.4 53.2 78.2 31.3 61.7 27.6 19.2 183 19.8
Hom 55.6 50.2 71.2 31 56.5 24.1 18 166.5 20.1
Hom 66.4 56.1 82.3 32.2 55.5 26.1 18.8 166 24.1
Hom 63.1 53.7 80.6 30.7 54.1 24 18.5 164.4 23.4
Hom 78 60.1 91.2 32.3 59.8 25.3 17.7 172.6 26.2
Hom 66.4 49 84.9 32 54.6 25.9 17.4 168.7 23.3
Hom 72.9 57.4 83.2 34.4 62 26.9 19.7 178.7 22.8
Hom 77.4 61 90.2 35 57.6 24.7 17.1 169.5 26.9
Hom 72.8 57.7 81 34.1 57.7 26.4 19.7 174 24.1
Hom 69.6 56.4 84.4 33.3 59.2 24.9 19.1 171.7 23.6
Hom 70.9 55.8 93.5 31.5 54.1 24.4 17.3 160.6 27.5
Hom 60.5 50.5 74.4 30.9 56.4 25.5 18.8 167.5 21.6
Hom 83.7 61.6 88.7 35.2 59.3 26 19 173.3 27.9
Hom 73.7 57.6 87.6 33.2 59.8 24.1 18.1 174.7 24.2
Hom 85.5 63 95.6 36.4 60 27.2 19.4 177.2 27.2
Hom 44.5 46.3 67.4 27.9 51.5 23.1 17 157.7 17.9
Hom 63.4 55.8 80.6 31.1 55.4 23.6 17.4 163.8 23.6
Hom 64.2 50.8 78.5 31.1 56.2 25.2 18.6 170.1 22.2
Hom 83.8 58.2 99.3 34.6 59.2 26.8 19 175.3 27.3
Hom 63 52.5 79.2 31.5 54.9 24.1 17.2 163 23.7
Hom 68.2 55.1 82.5 33.4 58.6 25.4 17.8 167.7 24.3
Hom 55.9 48 80.2 31.1 53.9 24.4 18.4 160.7 21.7
Hom 89.2 60.1 103.2 35.4 58.4 26.1 19.2 175.7 28.9
Hom 65.5 52 95 31.4 52.4 23.3 18.5 156.6 26.7
Hom 57.4 47.7 71.5 32.6 60.4 26 19.7 172.6 19.3
Hom 69.2 54.1 78.4 34.5 59.8 26.6 19.2 178.4 21.7
Hom 49.1 48.2 67 29.2 55 24.3 18 165.3 18
Hom 68.5 54.4 81 35.3 55.6 25.1 18.2 175 22.4
Hom 60.2 50.5 85.5 31.3 52.2 23.2 17.1 162.4 22.8
Hom 88.4 62.6 92 37.9 62.6 27.7 20.4 185.8 25.6
Hom 81.1 58.5 101.9 34.6 53.2 23.7 17.3 159.7 31.8
Hom 66.1 56.8 78.8 35.2 54.2 25.7 18.9 167.2 23.6
Hom 78.2 61.9 89.3 34.3 57.9 23.7 17.8 168.9 27.4
Hom 56.2 48.6 76.1 30.1 55.6 24.4 17.2 167.5 20
Hom 67.1 56.6 78.4 33.2 56.1 25.6 18.2 169.7 23.3
Hom 66.6 52.3 76.5 33.7 61 27.5 19.5 177.4 21.2
Hom 82.3 57.5 96.8 35.5 55.5 26.2 17.2 166.6 29.7
Hom 76.2 60.7 84 34.3 58.2 26.3 19.4 173.6 25.3
Hom 88.2 63.5 92.6 35.5 61.4 26.2 19 176.6 28.3
Hom 63.8 53.1 79.8 31.5 55.7 24.4 18.4 170.8 21.9
Hom 77.7 54.8 96.8 33.9 56.4 26 18.5 169.4 27.1
Hom 89.7 67 100.1 36.9 56.7 23.2 17.3 164.5 33.2
Hom 73.9 56.8 91.7 33.6 56.1 25.2 19.2 166.4 26.7
Hom 66.8 54.4 81.1 32 54 25.8 18.8 167.2 23.9
Hom 61.2 51.2 76.7 34.1 55.7 24.7 17.5 167 21.9
Hom 76.1 57.7 86.8 35.9 57.3 26.5 18.6 173.7 25.2
Hom 65.8 55.4 86.1 35.4 57 23.2 18 165.3 24.1
Hom 71.2 55.9 82.7 34.3 54.9 23.5 16.9 165.6 26
Hom 53.4 50.8 78.3 32.8 52.8 22.8 16 156.1 21.9
Hom 49.8 46.2 66.4 31.5 54.8 24.6 17.4 165.1 18.3
Hom 69.3 58.1 81.4 36 59.5 26.3 18.6 164.9 25.5
Hom 69.2 53.6 85.8 36.4 56.6 24.1 16.7 165.2 25.4
Hom 60 48.5 77.7 31.7 56.5 26.6 19.3 168.6 21.1
Hom 56 48.4 73 33.9 55.4 24.1 17.6 165.8 20.4
Hom 67.4 58 79.1 36.6 57.3 24.5 16.8 167.6 24
Hom 56.7 51.7 72.1 34.1 53.4 25.4 18 159.8 22.2
Hom 85.4 62.5 95.4 36.1 56.9 25.9 17.8 170.3 29.5
Hom 71.9 54.2 82.9 36.7 61.1 25.7 18.5 179.5 22.3
Hom 57.4 50 75.1 35.3 54.7 24.6 18.3 167.7 20.4
Hom 74.9 57.9 84.2 36.3 58.6 25.8 18.4 177.5 23.8
Hom 61 54.2 79.2 32.8 55.6 24.1 17.2 161.7 23.3
Hom 80 61.4 88 36.6 57.1 26.5 18 167.1 28.7
Hom 89.5 61.1 97.2 39.8 62.1 27.7 19.5 179.7 27.7
Hom 58.2 49.8 75 31.4 58.8 26 18.6 167.5 20.7
Hom 65.5 53.9 87.6 33.8 55.1 23.6 17.4 160.2 25.5
Hom 81.5 61.3 91.5 38.7 56.6 24.2 16.9 168.2 28.8
Hom 64.9 54.4 77.2 34.3 59.4 26.3 19.6 170.2 22.4
Hom 49.1 44.7 64.9 31.2 54.1 23.1 16.5 164.4 18.2
Hom 66.1 53.9 73.8 34.7 58.9 27.6 20.9 181.6 20
Hom 59.7 53.6 70.1 32.5 56.2 24.6 17.8 167.7 21.2
Hom 69.4 55.4 83.5 36 56.5 24 17.8 168.8 24.4
Hom 71.1 54.6 85 35.8 57.4 25.5 18.2 169.7 24.7
Hom 52 48.3 73.1 31.1 52.7 23.4 16.4 158.3 20.8
Hom 59.9 48.6 76.4 34.6 60.3 27.1 19.5 176.5 19.2
Hom 48.6 41.5 75.1 31.8 54 24.3 16.9 160.8 18.8
Hom 62.1 52.5 78.3 35.5 57 25.1 17.5 166 22.5
Hom 59.3 51.4 72.2 32.2 55.3 25 18.1 171.4 20.2
Hom 67.5 57.2 81.4 36.8 54.9 24.1 17 165.5 24.6
Hom 59.3 51.7 75.6 33.2 55.6 25.1 17.9 164.2 22
Hom 70.1 55.3 81.2 35.2 60.4 26.8 18.1 178.5 22
Hom 57.4 49.4 76.7 35.6 55.9 24.6 16.6 169.4 20
Hom 66.9 53.4 92.2 36.9 55.2 24.9 17 161.3 25.7
Hom 67.9 53.3 79.4 37.8 56.5 26 18.9 174 22.4
Hom 57.9 46.6 90.2 32 55.1 23.1 16.2 153.2 24.7
Hom 69.2 55.6 79.6 36.5 58.2 25 17.5 171.1 23.6
Hom 68.3 54.7 81.3 37.5 60.1 24.5 17.7 177.2 21.8
Hom 64.6 54.5 74 35.2 56.8 26.3 18.8 167.4 23.1
Hom 54.3 45.5 67.3 33.9 57.3 25.5 18.1 175 17.7
Hom 70.8 53.8 91.9 35.4 58 25.1 17.8 168.6 24.9
Hom 61.1 50.6 72 33.2 57.7 25.7 18.9 170.9 20.9
Hom 59.9 51.7 72.3 33.7 58.1 25.7 18.1 172.3 20.2
Hom 60.5 53.4 75.2 32.7 54.9 24.3 17.2 165.9 22
Hom 69 52.5 77.6 35.9 61.2 27.3 19.8 179.4 21.4
Hom 59.8 52.4 75.4 35.2 55.6 27.1 18.2 168 21.2
Hom 68.4 53 82.1 35.1 55.2 25.7 18.6 163.5 25.6
Hom 87.6 59.7 90.3 37.9 62.9 26.8 18.7 188 24.8
Hom 66.7 52.8 77.3 37.5 57.9 24.8 18.7 181.5 20.3
Hom 76.8 53.8 96 35.7 57 26 18.1 168.2 27.2
Hom 80.9 60.9 87 36.8 60.2 28.3 19.7 180.2 24.9
Hom 68.4 58.1 78.1 35.7 56.2 25.4 18.7 168.7 24
Hom 63.1 54.6 79.6 35.2 56.4 24.9 17.8 164.8 23.2
Hom 80.2 63.3 82.5 40.5 60 26.1 19 173.3 26.7
Hom 64.1 55.3 79.7 36.2 55.5 26 18.8 168 22.7
Hom 59.4 50.5 74.6 33.3 54.5 26 18.5 166.6 21.4
Hom 74.8 56.4 87.5 34.8 55 25.7 19.1 167.4 26.7
Hom 84.6 59.2 95.6 38.5 58.8 27.4 20.1 173.3 28.2
Hom 67.7 54.2 81.9 35.1 57.9 27.3 19.2 173.5 22.5
Hom 66.8 57.4 86.5 36.6 55.1 25.3 18.2 163.3 25.1
Hom 61.1 48.5 73.4 34.7 60.3 24.5 18.2 177.9 19.3
Hom 72.3 55.5 78.5 35.2 59 27 18.6 171.9 24.5
Hom 71.1 60.2 80.8 37.8 55.8 25.7 18.5 163.7 26.5
Hom 85.5 61.7 90.6 39.2 61.3 26.4 19.1 173.7 28.3
Hom 55 48.4 73.4 32.2 54.7 24.1 17.2 166.7 19.8
Hom 64.3 55.7 76.9 36.7 58.2 24.9 16.8 168.2 22.7
Hom 57.2 52.2 72.9 34.1 54.8 24.4 18 162.3 21.7
Hom 58.9 51.7 66.8 32.7 58.3 26.1 18.9 173.1 19.7
Hom 62 51.8 73.1 33.6 57.4 26.3 18.6 169.2 21.7
Hom 78.8 56.2 96.6 36 58.6 25.8 18.3 167.4 28.1
Hom 64.4 51.4 82.9 33.3 56 24.6 17.6 163.6 24.1
Hom 73.4 55.7 85.4 36.3 56.7 25.7 18 167.7 26.1
Hom 69.9 52.6 95.2 34 51.5 22.5 16.9 153.7 29.6
Hom 73.4 54.7 94.7 36.6 54.3 24.2 18.5 164.7 27.1
Hom 70.3 55.8 91.3 35.8 56.2 24.7 18.4 166.2 25.5
Hom 62 51.5 82.9 33.8 54.4 24.8 18.3 162.8 23.4
Hom 66.7 55.8 78.4 36.8 57.4 25.1 17.4 168.5 23.5
Hom 68.5 51.4 82 33.6 59.3 25.7 18.2 178.2 21.6
Hom 71.1 56.5 75.6 34.3 59.5 24.6 18.7 172.5 23.9
Hom 68 55.9 80.3 37.3 57 25.1 18.1 166.1 24.7
Hom 64.9 54 80.6 35.5 57.3 26.4 18.3 169.5 22.6
Hom 68.2 53 75.4 34.7 60.1 26.1 20.2 176.8 21.8
Hom 79 55.8 97.4 38.9 58 25.3 18.3 165 29
Hom 60 50.8 73.6 34 56 24 16.9 170.2 20.7
Hom 69.9 55.1 89.9 35.3 57.5 25.2 18.4 164.6 25.8
Hom 75 52.7 97.1 35.9 57.4 24.5 17.8 165.3 27.5
Hom 68.5 52.5 92.8 34.7 54.6 23.8 17.2 163.9 25.5
Hom 70 55.5 82.5 35.1 57.6 24.7 19.4 167.4 25
Hom 76.3 56.5 94.6 35.8 60.8 26.7 19.3 173 25.5
Hom 64.5 51.2 87.2 34.1 53 23.9 16.8 160 25.2
Hom 78.3 58.5 90.7 37.2 58.3 25.9 19 171 26.8
Hom 87.1 63.1 103.5 38.3 57.4 25.3 17.9 168 30.9
Hom 56.8 50.4 76.4 34.1 51.5 23.3 17.2 159.1 22.4
Hom 69.6 57 79.4 35.6 58.8 26.5 18.5 173.5 23.1
Hom 61.3 52.2 76.1 36.1 57 24.1 18.5 166.7 22.1
Hom 68.4 56 87.5 35.1 57.8 25.4 18 166.6 24.6
Hom 61.6 51.5 75.1 33.8 56.9 25.1 17.9 167.1 22.1
Hom 61.6 47.8 70.1 34 60.4 27 19.7 177.5 19.6
Hom 83.2 58 86.6 38.5 59.8 26.9 18.7 178.7 26.1
Hom 77.8 59.7 97.6 36.9 56.5 24.7 18.1 163.3 29.2
Hom 75.1 56.5 85.1 37.4 57.4 25.1 18.2 171.4 25.6
Hom 77.2 56.4 92.5 35.3 59.7 26.2 20 175 25.2
Hom 69.5 57.6 83.2 34.9 56.5 25 18.8 169.1 24.3
Hom 61 50.8 75.1 32.9 55.4 26.4 18.2 170.5 21
Hom 71 55.9 84.8 34.9 58.7 25.1 18.6 173 23.7
Hom 69.6 53.3 83.4 36.9 56 25.9 18.9 169.2 24.3
Hom 66.2 56.3 74 32.7 58.6 24.7 18.2 169.6 23
Hom 71.2 57.1 76.3 34.8 61.3 27.5 20.8 177.4 22.6
Hom 70.7 54.3 94.1 35.8 51.9 23.5 17 156.6 28.8
Hom 74.7 54.4 93.4 36.3 56.2 25.5 18.3 171 25.6
Hom 76.4 58.9 90.1 37.3 56.8 26.6 19.2 170.7 26.2
Hom 64.3 55.8 74.4 35.3 55.8 24.2 17.6 163.1 24.2
Hom 73.4 59.6 93.6 36.5 56.6 24.2 17.7 162.1 27.9
Hom 75 58.1 84.7 35.9 57.6 25.8 18.2 172.8 25.1
Hom 73.6 55.7 82.4 36.9 59.5 27.5 20.1 177.7 23.3
Hom 58.4 51.5 72.8 36.3 56.7 24.9 18.2 166.2 21.1
Hom 61 47.6 74 33.1 57.5 26 19.1 179.2 19
Hom 82 59 97.7 38.9 60.2 26.2 19 173.3 27.3
Hom 66.9 49.5 88.5 35.7 56.6 24.6 17.6 166.1 24.3
Hom 75.2 55.6 92.3 37.9 57.9 25.3 18.6 171.8 25.5
Hom 76.1 57.3 80.3 37.9 62.8 26.8 19.1 181.3 23.2
Hom 80.8 58.6 102.8 38.2 57.2 25 17.6 166.7 29.1
Hom 70.6 58 81.9 36.7 59.2 26.3 18.4 171 24.1
Hom 65.3 55 80.5 34.9 55.6 25.7 17.8 167.8 23.2
Hom 62.4 54.2 78.1 36.2 56.8 26.2 18.2 173.1 20.8
Hom 54.7 51.8 78.7 32.1 54.8 24.2 18.5 157.3 22.1
Hom 75.6 56.1 88.6 38.4 60.6 25.1 18.5 173.9 25
Hom 74.2 57.5 91.2 34.1 56.5 25.5 17.8 164.7 27.4
Hom 73.8 61.2 83.9 39.5 60.7 27.1 18.6 172.5 24.8
Hom 61 52.7 74.3 33.4 56.5 26.1 17.6 165.5 22.3
Hom 67.1 56.3 84.3 37.1 57.2 26 18.3 171.6 22.8
Hom 59.1 50.3 76.2 34.1 55.8 25.3 18.3 169.3 20.6
Hom 58.4 52.7 72.4 34.1 56.9 25.7 18 166.8 21
Hom 56.9 47.1 73.4 31.5 56 24.6 18.8 167.1 20.4
Hom 62.9 51.3 84.6 33.4 54.5 23.9 17.2 164.6 23.2
Hom 85.4 59 96.8 36.6 59.6 27.1 18.2 178 27
Hom 56.6 49.5 74.3 34.2 54.6 24.1 17.5 163.2 21.3
Hom 91.5 62.1 104.3 40.3 60.5 24.8 18.5 168.3 32.3
Hom 67.8 56.6 84.2 35.7 57.1 24.1 18.1 166.3 24.5
Hom 60.5 52 80.6 33 51.3 24.4 17.2 158.9 24
Hom 54.1 49 81.5 33.1 51.3 23.7 17.4 157.2 21.9
Hom 74 57 89.1 37.7 59.1 25.1 17.2 170.3 25.5
Hom 63.1 52.3 76.4 30.7 60 26.3 20 175.3 20.5
Hom 66.8 56.8 80.9 36.1 55.5 23.6 17.5 162.6 25.3
Hom 70.1 55.4 86.1 39 56.9 25.9 19.1 167.8 22.4
Hom 65.1 52.7 82.5 33.4 58.3 26.4 19.1 170.3 22.5
Hom 60.3 54.9 83.4 35.3 51.7 23.1 16 154.4 25.3
Hom 61.7 53.3 82.3 33 54.5 25.8 18.8 161.1 23.8
Hom 64.5 53.6 82.7 35.6 58 24.5 18.7 168.2 22.8
Hom 67.3 55.6 82.4 32.2 55.4 25.4 17.9 171 23
Hom 78.5 57.5 94.1 39 59.2 26.5 19.9 171.3 26.8
Hom 59.9 49 70.3 31.3 57.5 26.7 18.9 174.5 19.7
Hom 80.3 60.6 80 39.5 60.3 25.8 18.4 178.5 25.2
Hom 64.8 53.1 75.6 36.3 58.8 25.6 18.9 175.4 21.1
Hom 86 56.4 100.5 37.9 60.9 27.2 20 175.1 28.1
Hom 75.6 59.3 84 38.5 62.1 28.3 20.8 178.1 23.8
Hom 59.6 49.4 79.2 34.1 56.6 25.1 18.4 169 20.9
Hom 69 53.3 73.7 35 58 23.4 18.2 170.9 23.6
Hom 73.1 56.2 90.6 36.2 58.3 25.9 18.1 171.5 24.9
Hom 58 50.3 77.1 33.5 54.7 25.9 18.9 169.2 20.3
Hom 66.6 54.2 84.5 36.1 56.5 26.2 17.8 163.3 25
Hom 105 67.8 111.6 43.8 61.7 26.9 20.1 174.4 34.5
Hom 74.2 58.7 90.8 37.4 57.1 24.7 18.3 167.2 26.5
Hom 74.4 57.7 85.7 38.5 59.3 25.8 18.4 173.9 24.6
Hom 56.8 49.7 77.7 33.7 53.1 23.2 18 160.1 22.2
Hom 74 59.5 88.4 37.9 54.1 24.5 18.5 166.2 26.8
Hom 78.4 58.7 87 36.3 59.1 26.6 18.5 174.4 25.8
Hom 71.9 55.9 89.7 35 56.9 24.4 17.7 168 25.5
Hom 69.4 55.9 86.3 34.8 56.3 24.8 18.5 167.6 24.7
Hom 80 60.2 92.2 37.1 58.3 25.2 17.7 172.3 27
Hom 66.5 52.5 89.7 34.7 55.9 25.2 17.5 163.3 24.9
Hom 81.6 56.5 101 38.3 56.1 23.9 17.6 165 30
Hom 55.2 51.3 73.1 32.8 53.7 24.7 17.9 163.1 20.8
Hom 75.3 59.7 80.6 36.5 61.6 26.1 18.5 176.9 24.1
Hom 85.2 59.3 91.2 38.6 59 27.1 19.8 174.1 28.1
Hom 70.4 55 91.2 35.2 52.9 24.6 18.1 159.3 27.7
Hom 45 41.3 68.3 29.6 56.4 23.7 17.1 166.3 16.3
Hom 67.1 51.5 85.4 34.4 55.3 24.5 18.7 165.1 24.6
Hom 73.4 54.2 90.6 35.3 60.2 24.9 18.3 170.8 25.2
Hom 62 51.2 85.4 33.8 52.4 22.6 16.5 155 25.8
Hom 62.9 55.5 75.7 35.3 52.8 24.6 17.1 164.1 23.4
Hom 71.3 53.4 80.5 34.6 61.8 27.7 19.6 180.8 21.8
Hom 66.8 54.5 83 38.4 54.7 24.7 17.5 164.4 24.7
Hom 81.6 56.9 94.1 37.2 59.8 27.8 19.6 173 27.3
Hom 70.5 58.1 89.6 36.2 56.9 24.2 18.2 162.9 26.6
Hom 61.8 52 91 33 51.7 23.5 17.5 148.8 27.9
Hom 77.7 58 93.2 37.7 59.1 24.7 19.1 173.8 25.7
Hom 65.6 54 85.7 37 57.2 24.8 17.7 165.2 24
Hom 62.4 53.5 71.2 34.7 57.8 26.4 18.7 174.6 20.5
Hom 60.5 51.2 72.5 35.2 55.4 26.1 18.5 173.3 20.1
Hom 76.9 58.5 89.7 38.2 59.7 25.4 18.5 173 25.7
Hom 79.3 62.4 83.4 36.6 62 27.8 19.7 174.3 26.1
Hom 67.4 54.5 74 34.7 58.7 26.5 19.6 170 23.3
Hom 55.5 48 69.9 30.8 54.1 25.1 18.6 161.7 21.2
Hom 69.1 58 90 37.7 54.7 24.7 17 162.5 26.2
Hom 63.5 54.5 77.5 32.6 56.5 26.2 19.1 163.6 23.7
Hom 65.3 52.7 75.6 35.6 59.5 27.6 19.9 173.3 21.7
Hom 66.7 53 82.9 33.9 54.9 25.4 19.2 166.6 24
Hom 60.3 49.5 80.6 33.5 54.1 23.8 19.2 161.7 23.1
Hom 56.3 49.9 80.5 33.3 51.8 23.4 17.2 153.9 23.8
Hom 49.5 47 68.3 30.1 54.5 23.4 16.9 162.3 18.8
Hom 51.9 47 78.2 32.3 56.6 24.6 16.5 163.5 19.4
Hom 68.5 51 77.4 33.4 58.8 24.5 18.2 175.3 22.3
Hom 72.3 55.5 82.5 34.5 59 27.1 20.3 171.1 24.7
Hom 78.4 57.1 96.6 36.5 55.3 23.7 17.3 156.9 31.9
Hom 66.2 52.7 76 33 58.2 26.7 19.2 172.1 22.4
Hom 52.6 49.2 69.3 29.8 51.5 22.9 17.4 154 22.2
Hom 67.3 53 75.2 32.9 59 27.2 20.5 173.2 22.4
Hom 54.2 47.4 72 31.1 55.5 23.9 18.1 163.3 20.3
Hom 63.2 54.1 87.7 33.4 56.3 24.2 18.5 161.7 24.2
Hom 61.7 50.2 75.8 31.6 58 26.7 20 169.5 21.5
Hom 63.3 49.3 76.8 33.4 57.6 25.4 19.5 170.9 21.7
Hom 77 50.6 81.9 33.7 56.5 24.4 17.5 163.3 28.9
Hom 72 52.6 91 33.5 54.5 25.1 18.3 165 26.5
Hom 65.3 52.3 85.6 34 55.1 23.7 17.3 158 26.2
Hom 66.5 53.4 91.3 35.5 52.9 23.6 17.1 153.9 28.1
Hom 79 60.4 95.6 37.2 55.4 25.2 17.6 161.4 30.3
Hom 53.4 48.7 72.7 34 51.9 24 16.1 158.5 21.3
Hom 57 51.9 80.2 33.3 57.5 25.2 18 164.3 21.1
Hom 65.3 52.4 78.6 33.8 56.3 23.9 17.9 165.2 23.9
Hom 65.6 50.8 87.2 34.5 56.8 24.6 18.4 164.9 24.1
Hom 66.5 54.9 82.2 34.9 52.1 23.6 17.8 163 25
Hom 79.5 57 96.4 37.1 55 24.7 18.4 162.7 30
Hom 58 49 75.5 33.4 54 25 18.2 167.2 20.8
Hom 62.1 51.2 78.4 32.9 53.2 24.9 18.4 165.3 22.7
Hom 63.2 55 81.2 34.9 54.5 23.5 17 156.6 25.8
Hom 86.5 58 99.2 35 56.4 25.3 18.5 167.7 30.8
Hom 76.8 57.3 84.5 36.4 61 25.1 18.7 177.2 24.5
Hom 90.4 57.6 106.8 38.2 59.2 24 18.5 166.8 32.5
Hom 76.2 57.1 92.8 35.3 57.7 23.9 17.6 165 28
Hom 71.8 55.2 76.4 36.2 58 25.4 17.6 173.7 23.8
