Sexo,P1,P7,P16,P22,P27,P29,P38,CAT_IMC
Hom,,60.2,92.4,42.1,26.2,18.7,176.3,OBESO
Hom,78.6,56.5,92,36.5,24.3,18.9,169.5,NORMAL
Hom,61.7,,73.6,35.3,27.8,19.2,180.9,DELGADO
Hom,81.9,59.5,92.3,38,26.3,19.1,170.8,OBESO
Hom,71.1,54.3,89.5,35.1,24.9,18.6,164.4,NORMAL
Hom,79.7,61.1,88.7,38.8,26.2,19,172.4,NORMAL
Hom,61.3,52.5,72.5,33.6,25.4,18.2,166.8,NORMAL
Hom,67.1,56.3,89.5,35.9,22,16.4,160.8,NORMAL
Hom,80.2,58,86.3,37.1,26.2,19.6,174.4,NORMAL
Hom,67.6,57.2,80.9,35.9,25.1,17.6,168.3,NORMAL
Hom,62.9,52.7,81.1,32,23.9,18.1,163.8,NORMAL
Hom,47.6,46.3,66.8,30.4,23.2,17.2,161.3,DELGADO
Hom,67.7,56.5,83.3,34.9,24.5,18.3,164.3,NORMAL
Hom,71.9,51.9,90.9,33.6,24.4,19.1,170.4,NORMAL
Hom,66.8,54.2,75.8,33.9,25.1,19.1,172.1,NORMAL
Hom,78.2,61.5,81.5,39.3,24.8,17.8,171.6,NORMAL
Hom,68.8,53.7,80.4,33.2,26,18,169.5,NORMAL
Hom,76.8,58.6,86.3,37,26.8,19.2,170,NORMAL
Hom,75.6,61.3,86.8,38.7,25.3,17.3,170.5,NORMAL
Hom,54.5,50.4,72.6,32.3,23.9,17.2,160.4,NORMAL
Hom,69,53.8,84.1,33.1,25,17.2,165,NORMAL
Hom,65.7,52.9,87.7,33.1,24.3,16.6,157.3,NORMAL
Hom,53.4,50.6,78.8,31.3,21.9,16.2,152.6,NORMAL
Hom,68.2,54.9,83.9,36.4,24.2,18.3,167.5,NORMAL
Hom,75.6,60.2,85.8,37.1,25,18.2,167.3,NORMAL
Hom,93.3,63.1,103.1,41,25.7,18.1,162.6,OBESO
Hom,80.8,55.9,76.5,35.8,28.4,21,188.2,NORMAL
Hom,63.3,50.2,75.8,31.7,25.4,17.8,170.4,NORMAL
Hom,60.1,52.5,86.1,34,25,18.3,165.4,NORMAL
Hom,66,53,82.1,31.8,25,19.5,165.1,NORMAL
Hom,90.8,61.9,95,39.5,27.4,18.4,174.6,OBESO
Hom,50.2,44.5,70.7,,24.4,17.8,166.3,DELGADO
Hom,68.6,54.1,85.4,34.2,26,18.7,174.9,NORMAL
Hom,74.7,57.1,84.2,35.7,23.9,18.2,165.4,NORMAL
Hom,72.7,56.2,82.2,35.8,26,18.7,171,NORMAL
Hom,51.3,49.2,67.7,31.4,23.7,16.8,159,NORMAL
Hom,59.6,52,75.1,32.5,24,18.3,165.9,NORMAL
Hom,60.8,53.8,75,33.9,25.2,18.8,163.9,NORMAL
Hom,68.2,51.7,78.6,34.5,28.2,20,185.7,DELGADO
Hom,59.3,48.9,76,32.4,25.7,19,174.2,DELGADO
Hom,67,55.1,81.3,34.4,24.6,17.9,168.4,NORMAL
Hom,63,54.6,76.6,34.9,25.3,17.8,166.2,NORMAL
Hom,81.3,62.5,86.2,37.9,27.7,19.5,174.6,NORMAL
Hom,68.6,54.7,79.4,35.6,24.2,18.5,172.6,NORMAL
Hom,49.6,45.8,74.2,30.8,24.4,18.2,155.2,NORMAL
Hom,66.4,53.9,81.1,33.7,24.8,19,170.8,NORMAL
Hom,61.5,51.4,74.4,33.2,25.6,19.1,168.2,NORMAL
Hom,60.4,50.6,73.6,32.7,25,18.4,165.7,NORMAL
Hom,55.8,49.8,70.3,31.4,23.1,17.5,164.6,NORMAL
Hom,66.1,55.5,77.5,35.7,24.1,17.2,167.2,NORMAL
Hom,62.3,48.1,77.6,32.6,26.4,18.7,170.8,NORMAL
Hom,71.7,50.5,75.1,35.5,27.5,19,184.7,NORMAL
Hom,59.4,50.5,75.5,32,24.7,17.8,166.4,NORMAL
Hom,78.1,57.4,83.3,38.4,27.3,19.4,178.3,NORMAL
Hom,64.6,54.5,77.4,34.7,26.5,19.1,169.2,NORMAL
Hom,67.2,51.2,77,34.4,24.1,17.8,163.7,NORMAL
Hom,84.4,61.2,91.3,38.3,25.3,17.2,173.4,OBESO
Hom,75.8,56,88.2,36.8,25.1,17.7,168.4,NORMAL
Hom,77.4,59.9,,36.1,24.8,19.3,160.3,OBESO
Hom,70.9,55.2,90.3,34.7,24.7,17.6,165.5,NORMAL
Hom,64.1,51,86.1,34.7,24.4,18,162.1,NORMAL
Hom,50.7,44,69,31.2,25,17.5,165.7,DELGADO
Hom,57,49.2,79,31,22.9,18.2,164.5,NORMAL
Hom,73.2,54.2,93.7,34.7,25.4,19,166.2,NORMAL
Hom,91.8,64.6,92.1,37.9,25.9,19,167.2,OBESO
Hom,77.1,57.5,87.1,37.2,26.6,19,171.5,NORMAL
Hom,81.2,62.4,96.6,34.7,25.5,18.3,168.4,OBESO
Hom,82.6,60.4,92.3,35.3,25.5,18.3,172.3,NORMAL
Hom,66.4,53.2,78.2,31.3,27.6,19.2,183,DELGADO
Hom,55.6,50.2,71.2,31,24.1,18,166.5,NORMAL
Hom,66.4,56.1,82.3,32.2,26.1,18.8,166,NORMAL
Hom,63.1,53.7,80.6,30.7,24,18.5,164.4,NORMAL
Hom,78,60.1,91.2,32.3,25.3,17.7,172.6,NORMAL
Hom,66.4,49,84.9,32,25.9,17.4,168.7,NORMAL
Hom,72.9,57.4,83.2,34.4,26.9,19.7,178.7,NORMAL
Hom,77.4,61,90.2,35,24.7,17.1,169.5,NORMAL
Hom,72.8,57.7,81,34.1,26.4,19.7,174,NORMAL
Hom,69.6,56.4,84.4,33.3,24.9,19.1,171.7,NORMAL
Hom,70.9,55.8,93.5,31.5,24.4,17.3,160.6,NORMAL
Hom,60.5,50.5,74.4,30.9,25.5,18.8,167.5,NORMAL
Hom,83.7,61.6,88.7,35.2,26,19,173.3,NORMAL
Hom,73.7,57.6,87.6,33.2,24.1,18.1,174.7,NORMAL
Hom,85.5,63,95.6,36.4,27.2,19.4,177.2,NORMAL
Hom,44.5,46.3,67.4,27.9,23.1,17,157.7,DELGADO
Hom,63.4,55.8,80.6,31.1,23.6,17.4,163.8,NORMAL
Hom,64.2,50.8,78.5,31.1,25.2,18.6,170.1,NORMAL
Hom,83.8,58.2,99.3,34.6,26.8,19,175.3,NORMAL
Hom,63,52.5,79.2,31.5,24.1,17.2,163,NORMAL
Hom,68.2,55.1,82.5,33.4,25.4,17.8,167.7,NORMAL
Hom,55.9,48,80.2,31.1,24.4,18.4,160.7,NORMAL
Hom,89.2,60.1,103.2,35.4,26.1,19.2,175.7,OBESO
Hom,65.5,52,95,31.4,23.3,18.5,156.6,NORMAL
Hom,,47.7,71.5,32.6,26,19.7,172.6,DELGADO
Hom,69.2,54.1,78.4,34.5,26.6,19.2,178.4,NORMAL
Hom,49.1,48.2,67,29.2,24.3,18,165.3,DELGADO
Hom,68.5,54.4,81,35.3,25.1,18.2,175,NORMAL
Hom,60.2,50.5,85.5,31.3,23.2,17.1,162.4,NORMAL
Hom,88.4,62.6,92,37.9,27.7,20.4,185.8,NORMAL
Hom,81.1,58.5,101.9,34.6,23.7,17.3,159.7,OBESO
Hom,66.1,56.8,78.8,35.2,25.7,18.9,167.2,NORMAL
Hom,78.2,61.9,89.3,34.3,23.7,17.8,168.9,NORMAL
Hom,56.2,48.6,76.1,30.1,24.4,17.2,167.5,NORMAL
Hom,67.1,56.6,78.4,33.2,25.6,18.2,169.7,NORMAL
Hom,66.6,52.3,76.5,33.7,27.5,19.5,177.4,NORMAL
Hom,82.3,57.5,96.8,35.5,26.2,17.2,166.6,OBESO
Hom,76.2,60.7,84,34.3,26.3,19.4,173.6,NORMAL
Hom,88.2,63.5,92.6,,26.2,19,176.6,OBESO
Hom,63.8,53.1,79.8,31.5,24.4,18.4,170.8,NORMAL
Hom,77.7,54.8,96.8,33.9,26,18.5,169.4,NORMAL
Hom,89.7,67,100.1,36.9,23.2,17.3,164.5,OBESO
Hom,73.9,56.8,91.7,33.6,25.2,19.2,166.4,NORMAL
Hom,66.8,54.4,81.1,32,25.8,18.8,167.2,NORMAL
Hom,61.2,51.2,76.7,34.1,24.7,17.5,167,NORMAL
Hom,76.1,57.7,86.8,35.9,26.5,18.6,173.7,NORMAL
Hom,65.8,55.4,86.1,35.4,23.2,18,165.3,NORMAL
Hom,71.2,55.9,82.7,34.3,23.5,16.9,165.6,NORMAL
Hom,53.4,50.8,78.3,32.8,22.8,16,156.1,NORMAL
Hom,49.8,46.2,66.4,31.5,24.6,17.4,165.1,DELGADO
Hom,69.3,58.1,81.4,36,26.3,18.6,164.9,NORMAL
Hom,69.2,53.6,85.8,36.4,24.1,16.7,165.2,NORMAL
Hom,60,48.5,77.7,31.7,26.6,19.3,168.6,NORMAL
Hom,56,48.4,73,33.9,24.1,17.6,165.8,NORMAL
Hom,67.4,58,79.1,36.6,24.5,16.8,167.6,NORMAL
Hom,56.7,51.7,72.1,34.1,25.4,18,159.8,NORMAL
Hom,85.4,62.5,95.4,36.1,25.9,17.8,170.3,OBESO
Hom,71.9,54.2,82.9,36.7,25.7,18.5,179.5,NORMAL
Hom,57.4,50,75.1,35.3,24.6,18.3,167.7,NORMAL
Hom,74.9,57.9,84.2,36.3,25.8,18.4,177.5,NORMAL
Hom,61,54.2,79.2,32.8,24.1,17.2,161.7,NORMAL
Hom,80,,88,36.6,26.5,18,167.1,OBESO
Hom,89.5,61.1,97.2,39.8,27.7,19.5,179.7,NORMAL
Hom,58.2,49.8,75,31.4,26,18.6,167.5,NORMAL
Hom,65.5,53.9,87.6,33.8,23.6,17.4,160.2,NORMAL
Hom,81.5,61.3,91.5,38.7,24.2,16.9,168.2,OBESO
Hom,64.9,54.4,77.2,34.3,26.3,19.6,170.2,NORMAL
Hom,49.1,44.7,64.9,31.2,23.1,16.5,164.4,DELGADO
Hom,66.1,53.9,73.8,34.7,27.6,20.9,181.6,NORMAL
Hom,59.7,53.6,70.1,32.5,24.6,17.8,167.7,NORMAL
Hom,69.4,55.4,83.5,36,24,17.8,168.8,NORMAL
Hom,71.1,54.6,85,35.8,25.5,18.2,169.7,NORMAL
Hom,52,48.3,73.1,31.1,23.4,16.4,158.3,NORMAL
Hom,59.9,48.6,76.4,34.6,27.1,19.5,176.5,DELGADO
Hom,48.6,41.5,75.1,31.8,24.3,16.9,160.8,DELGADO
Hom,62.1,52.5,78.3,35.5,25.1,17.5,166,NORMAL
Hom,59.3,51.4,72.2,32.2,25,18.1,171.4,NORMAL
Hom,67.5,57.2,81.4,36.8,24.1,17,165.5,NORMAL
Hom,59.3,51.7,75.6,33.2,25.1,17.9,164.2,NORMAL
Hom,70.1,55.3,81.2,35.2,26.8,18.1,178.5,NORMAL
Hom,57.4,49.4,76.7,35.6,24.6,16.6,169.4,NORMAL
Hom,66.9,53.4,92.2,36.9,24.9,17,161.3,NORMAL
Hom,67.9,53.3,79.4,37.8,26,18.9,174,NORMAL
Hom,57.9,46.6,90.2,32,23.1,16.2,153.2,NORMAL
Hom,,55.6,79.6,36.5,25,17.5,171.1,NORMAL
Hom,68.3,54.7,81.3,37.5,24.5,17.7,177.2,NORMAL
Hom,64.6,54.5,74,35.2,26.3,18.8,167.4,NORMAL
Hom,54.3,45.5,67.3,33.9,25.5,18.1,175,DELGADO
Hom,70.8,53.8,91.9,35.4,25.1,,168.6,NORMAL
Hom,61.1,50.6,72,33.2,25.7,18.9,170.9,NORMAL
Hom,59.9,51.7,72.3,33.7,25.7,18.1,172.3,NORMAL
Hom,60.5,53.4,75.2,32.7,24.3,17.2,165.9,NORMAL
Hom,69,52.5,77.6,35.9,27.3,19.8,179.4,NORMAL
Hom,59.8,52.4,75.4,35.2,27.1,18.2,168,NORMAL
Hom,68.4,53,82.1,35.1,25.7,18.6,163.5,NORMAL
Hom,87.6,59.7,90.3,37.9,26.8,18.7,188,NORMAL
Hom,66.7,52.8,,37.5,24.8,18.7,181.5,NORMAL
Hom,76.8,53.8,96,35.7,26,18.1,168.2,NORMAL
Hom,80.9,60.9,87,36.8,28.3,19.7,180.2,NORMAL
Hom,68.4,58.1,78.1,35.7,25.4,18.7,168.7,NORMAL
Hom,63.1,54.6,79.6,35.2,24.9,17.8,164.8,NORMAL
Hom,80.2,63.3,82.5,40.5,26.1,19,173.3,NORMAL
Hom,64.1,55.3,79.7,36.2,26,18.8,168,NORMAL
Hom,59.4,50.5,74.6,33.3,26,18.5,166.6,NORMAL
Hom,74.8,56.4,87.5,34.8,25.7,19.1,167.4,NORMAL
Hom,84.6,59.2,95.6,38.5,27.4,20.1,173.3,OBESO
Hom,67.7,54.2,81.9,35.1,27.3,19.2,173.5,NORMAL
Hom,66.8,57.4,86.5,36.6,25.3,18.2,163.3,NORMAL
Hom,61.1,48.5,73.4,34.7,24.5,18.2,177.9,DELGADO
Hom,72.3,55.5,78.5,35.2,27,18.6,171.9,NORMAL
Hom,71.1,60.2,80.8,37.8,25.7,18.5,163.7,NORMAL
Hom,85.5,61.7,90.6,39.2,26.4,,173.7,OBESO
Hom,55,48.4,73.4,32.2,24.1,17.2,166.7,DELGADO
Hom,64.3,55.7,76.9,36.7,24.9,16.8,168.2,NORMAL
Hom,57.2,52.2,72.9,34.1,24.4,18,162.3,NORMAL
Hom,58.9,51.7,66.8,32.7,26.1,18.9,,DELGADO
Hom,62,51.8,73.1,33.6,26.3,18.6,169.2,NORMAL
Hom,78.8,56.2,96.6,36,25.8,18.3,167.4,OBESO
Hom,64.4,51.4,82.9,33.3,24.6,17.6,163.6,NORMAL
Hom,73.4,55.7,85.4,36.3,25.7,18,167.7,NORMAL
Hom,69.9,52.6,95.2,34,22.5,16.9,153.7,OBESO
Hom,73.4,54.7,94.7,36.6,24.2,18.5,164.7,NORMAL
Hom,70.3,55.8,91.3,35.8,24.7,18.4,166.2,NORMAL
Hom,62,51.5,82.9,33.8,24.8,18.3,162.8,NORMAL
Hom,66.7,55.8,78.4,36.8,25.1,17.4,168.5,NORMAL
Hom,68.5,51.4,82,33.6,25.7,18.2,178.2,NORMAL
Hom,71.1,56.5,75.6,34.3,24.6,18.7,172.5,NORMAL
Hom,68,55.9,80.3,37.3,25.1,18.1,166.1,NORMAL
Hom,64.9,54,80.6,35.5,26.4,18.3,169.5,NORMAL
Hom,68.2,53,75.4,34.7,26.1,20.2,176.8,NORMAL
Hom,79,55.8,97.4,38.9,25.3,18.3,165,OBESO
Hom,60,50.8,73.6,34,24,16.9,170.2,NORMAL
Hom,69.9,55.1,89.9,35.3,25.2,18.4,164.6,NORMAL
Hom,75,52.7,97.1,35.9,24.5,17.8,165.3,NORMAL
Hom,68.5,52.5,92.8,34.7,23.8,17.2,163.9,NORMAL
Hom,70,55.5,82.5,35.1,24.7,19.4,167.4,NORMAL
Hom,76.3,56.5,94.6,35.8,26.7,19.3,173,NORMAL
Hom,64.5,51.2,87.2,34.1,23.9,16.8,160,NORMAL
Hom,78.3,58.5,90.7,37.2,25.9,19,171,NORMAL
Hom,87.1,63.1,103.5,38.3,25.3,17.9,168,OBESO
Hom,56.8,50.4,76.4,34.1,23.3,17.2,159.1,NORMAL
Hom,69.6,57,79.4,35.6,26.5,18.5,173.5,NORMAL
Hom,61.3,52.2,76.1,36.1,24.1,18.5,166.7,NORMAL
Hom,68.4,56,87.5,35.1,25.4,18,166.6,NORMAL
Hom,61.6,51.5,75.1,33.8,25.1,17.9,167.1,NORMAL
Hom,61.6,47.8,70.1,34,27,19.7,177.5,DELGADO
Hom,83.2,58,86.6,38.5,26.9,18.7,178.7,NORMAL
Hom,77.8,59.7,97.6,36.9,24.7,18.1,163.3,OBESO
Hom,75.1,56.5,85.1,37.4,25.1,18.2,171.4,NORMAL
Hom,77.2,56.4,92.5,35.3,26.2,20,175,NORMAL
Hom,69.5,57.6,83.2,34.9,25,18.8,169.1,NORMAL
Hom,61,50.8,75.1,32.9,26.4,18.2,170.5,NORMAL
Hom,71,55.9,84.8,34.9,25.1,18.6,173,NORMAL
Hom,69.6,53.3,83.4,36.9,25.9,18.9,169.2,NORMAL
Hom,66.2,56.3,74,32.7,24.7,18.2,169.6,NORMAL
Hom,71.2,57.1,76.3,34.8,27.5,20.8,177.4,NORMAL
Hom,70.7,54.3,94.1,35.8,23.5,17,156.6,OBESO
Hom,74.7,54.4,93.4,36.3,25.5,18.3,171,NORMAL
Hom,76.4,58.9,90.1,37.3,26.6,19.2,170.7,NORMAL
Hom,64.3,55.8,74.4,35.3,24.2,17.6,163.1,NORMAL
Hom,73.4,59.6,93.6,36.5,24.2,17.7,162.1,NORMAL
Hom,75,58.1,84.7,35.9,25.8,18.2,172.8,NORMAL
Hom,73.6,55.7,82.4,36.9,27.5,20.1,177.7,NORMAL
Hom,58.4,51.5,72.8,36.3,24.9,18.2,166.2,NORMAL
Hom,61,47.6,74,33.1,26,19.1,179.2,DELGADO
Hom,82,59,97.7,38.9,26.2,19,173.3,NORMAL
Hom,66.9,49.5,88.5,35.7,24.6,17.6,166.1,NORMAL
Hom,75.2,55.6,92.3,37.9,25.3,18.6,171.8,NORMAL
Hom,76.1,57.3,80.3,37.9,26.8,19.1,181.3,NORMAL
Hom,80.8,58.6,102.8,38.2,25,17.6,166.7,OBESO
Hom,70.6,58,81.9,36.7,26.3,18.4,171,NORMAL
Hom,65.3,55,80.5,34.9,25.7,17.8,167.8,NORMAL
Hom,62.4,54.2,78.1,36.2,26.2,18.2,173.1,NORMAL
Hom,54.7,51.8,78.7,32.1,24.2,18.5,157.3,NORMAL
Hom,75.6,56.1,88.6,38.4,25.1,18.5,173.9,NORMAL
Hom,74.2,57.5,91.2,34.1,25.5,17.8,164.7,NORMAL
Hom,73.8,61.2,83.9,39.5,27.1,18.6,172.5,NORMAL
Hom,61,52.7,74.3,33.4,26.1,17.6,165.5,NORMAL
Hom,67.1,56.3,84.3,37.1,26,18.3,171.6,NORMAL
Hom,59.1,50.3,76.2,34.1,25.3,18.3,169.3,NORMAL
Hom,58.4,52.7,72.4,34.1,25.7,18,166.8,NORMAL
Hom,56.9,47.1,73.4,31.5,24.6,18.8,167.1,NORMAL
Hom,62.9,51.3,84.6,33.4,23.9,17.2,164.6,NORMAL
Hom,85.4,59,96.8,36.6,27.1,18.2,178,NORMAL
Hom,56.6,49.5,74.3,34.2,24.1,17.5,163.2,NORMAL
Hom,91.5,62.1,104.3,40.3,24.8,18.5,168.3,OBESO
Hom,67.8,56.6,84.2,35.7,24.1,18.1,166.3,NORMAL
Hom,60.5,52,80.6,33,24.4,17.2,158.9,NORMAL
Hom,54.1,49,81.5,33.1,23.7,17.4,157.2,NORMAL
Hom,74,57,89.1,37.7,25.1,17.2,170.3,NORMAL
Hom,63.1,52.3,76.4,30.7,26.3,20,175.3,NORMAL
Hom,66.8,56.8,80.9,36.1,23.6,17.5,162.6,NORMAL
Hom,70.1,55.4,86.1,39,25.9,19.1,167.8,NORMAL
Hom,65.1,52.7,82.5,33.4,26.4,19.1,170.3,NORMAL
Hom,60.3,54.9,83.4,35.3,23.1,16,154.4,NORMAL
Hom,61.7,53.3,82.3,33,25.8,18.8,,NORMAL
Hom,64.5,53.6,82.7,35.6,24.5,18.7,168.2,NORMAL
Hom,67.3,55.6,82.4,32.2,25.4,17.9,171,NORMAL
Hom,,57.5,94.1,39,26.5,19.9,171.3,NORMAL
Hom,59.9,49,,31.3,26.7,18.9,174.5,DELGADO
Hom,80.3,60.6,80,39.5,25.8,18.4,178.5,NORMAL
Hom,64.8,53.1,75.6,36.3,25.6,18.9,175.4,NORMAL
Hom,86,56.4,100.5,37.9,27.2,20,175.1,OBESO
Hom,75.6,59.3,84,38.5,28.3,20.8,178.1,NORMAL
Hom,59.6,49.4,79.2,34.1,25.1,18.4,169,NORMAL
Hom,69,53.3,73.7,35,23.4,18.2,170.9,NORMAL
Hom,73.1,56.2,90.6,36.2,25.9,18.1,171.5,NORMAL
Hom,58,50.3,77.1,33.5,25.9,18.9,169.2,NORMAL
Hom,66.6,54.2,84.5,36.1,26.2,17.8,163.3,NORMAL
Hom,105,67.8,111.6,43.8,,20.1,174.4,OBESO
Hom,74.2,58.7,90.8,37.4,24.7,18.3,167.2,NORMAL
Hom,74.4,57.7,85.7,38.5,25.8,18.4,173.9,NORMAL
Hom,56.8,49.7,77.7,33.7,23.2,18,160.1,NORMAL
Hom,74,59.5,88.4,37.9,24.5,18.5,166.2,NORMAL
Hom,78.4,58.7,87,36.3,26.6,18.5,174.4,NORMAL
Hom,71.9,55.9,89.7,35,24.4,17.7,168,NORMAL
Hom,69.4,55.9,86.3,34.8,24.8,18.5,167.6,NORMAL
Hom,80,60.2,92.2,37.1,25.2,17.7,172.3,NORMAL
Hom,66.5,52.5,89.7,34.7,25.2,17.5,163.3,NORMAL
Hom,81.6,56.5,101,38.3,23.9,17.6,165,OBESO
Hom,55.2,51.3,73.1,32.8,24.7,17.9,163.1,NORMAL
Hom,75.3,59.7,80.6,36.5,26.1,18.5,176.9,NORMAL
Hom,85.2,59.3,91.2,38.6,27.1,19.8,174.1,OBESO
Hom,70.4,55,91.2,35.2,24.6,18.1,159.3,NORMAL
Hom,45,41.3,68.3,29.6,23.7,17.1,166.3,DELGADO
Hom,67.1,51.5,85.4,34.4,24.5,18.7,165.1,NORMAL
Hom,73.4,54.2,90.6,35.3,24.9,18.3,170.8,NORMAL
Hom,62,51.2,85.4,33.8,22.6,16.5,155,NORMAL
Hom,62.9,55.5,75.7,35.3,24.6,17.1,164.1,NORMAL
Hom,71.3,53.4,80.5,34.6,27.7,19.6,180.8,NORMAL
Hom,66.8,54.5,83,38.4,24.7,17.5,164.4,NORMAL
Hom,81.6,56.9,94.1,37.2,27.8,19.6,173,NORMAL
Hom,70.5,58.1,89.6,36.2,24.2,18.2,162.9,NORMAL
Hom,61.8,52,91,33,23.5,17.5,148.8,NORMAL
Hom,77.7,58,93.2,37.7,24.7,19.1,173.8,NORMAL
Hom,65.6,54,85.7,37,24.8,17.7,165.2,NORMAL
Hom,62.4,53.5,71.2,34.7,26.4,18.7,174.6,NORMAL
Hom,60.5,51.2,72.5,35.2,26.1,18.5,173.3,NORMAL
Hom,76.9,58.5,89.7,38.2,25.4,18.5,173,NORMAL
Hom,79.3,62.4,83.4,36.6,27.8,19.7,174.3,NORMAL
Hom,67.4,54.5,74,34.7,26.5,19.6,170,NORMAL
Hom,55.5,48,69.9,30.8,25.1,18.6,161.7,NORMAL
Hom,69.1,58,90,37.7,24.7,17,162.5,NORMAL
Hom,63.5,54.5,77.5,32.6,26.2,19.1,163.6,NORMAL
Hom,65.3,52.7,75.6,35.6,27.6,19.9,173.3,NORMAL
Hom,66.7,53,82.9,33.9,25.4,19.2,166.6,NORMAL
Hom,60.3,49.5,80.6,33.5,23.8,19.2,161.7,NORMAL
Hom,56.3,49.9,80.5,33.3,23.4,17.2,153.9,NORMAL
Hom,49.5,47,68.3,30.1,23.4,16.9,162.3,DELGADO
Hom,51.9,47,78.2,32.3,24.6,16.5,163.5,DELGADO
Hom,68.5,51,77.4,33.4,24.5,18.2,175.3,NORMAL
Hom,72.3,55.5,82.5,34.5,27.1,20.3,171.1,NORMAL
Hom,78.4,57.1,96.6,36.5,23.7,17.3,156.9,OBESO
Hom,66.2,52.7,76,33,26.7,19.2,172.1,NORMAL
Hom,52.6,49.2,69.3,29.8,22.9,17.4,154,NORMAL
Hom,67.3,53,75.2,32.9,27.2,20.5,173.2,NORMAL
Hom,54.2,47.4,72,31.1,23.9,18.1,163.3,NORMAL
Hom,63.2,54.1,87.7,33.4,24.2,18.5,161.7,NORMAL
Hom,61.7,50.2,75.8,31.6,26.7,20,169.5,NORMAL
Hom,63.3,49.3,76.8,33.4,25.4,19.5,170.9,NORMAL
Hom,77,50.6,81.9,33.7,24.4,17.5,163.3,OBESO
Hom,72,52.6,91,33.5,25.1,18.3,165,NORMAL
Hom,65.3,52.3,85.6,34,23.7,17.3,158,NORMAL
Hom,66.5,53.4,91.3,35.5,23.6,17.1,153.9,OBESO
Hom,79,60.4,95.6,37.2,25.2,17.6,161.4,OBESO
Hom,53.4,48.7,72.7,34,24,16.1,158.5,NORMAL
Hom,57,51.9,80.2,33.3,25.2,18,164.3,NORMAL
Hom,65.3,52.4,78.6,33.8,23.9,17.9,165.2,NORMAL
Hom,65.6,50.8,87.2,34.5,24.6,18.4,164.9,NORMAL
Hom,66.5,54.9,82.2,34.9,23.6,17.8,163,NORMAL
Hom,79.5,57,96.4,37.1,24.7,18.4,162.7,OBESO
Hom,58,49,75.5,33.4,25,18.2,167.2,NORMAL
Hom,62.1,51.2,78.4,32.9,24.9,18.4,165.3,NORMAL
Hom,63.2,55,81.2,34.9,23.5,17,156.6,NORMAL
Hom,86.5,58,99.2,35,25.3,18.5,,OBESO
Hom,76.8,57.3,84.5,36.4,25.1,18.7,177.2,NORMAL
Hom,90.4,57.6,106.8,38.2,24,18.5,166.8,OBESO
Hom,76.2,57.1,92.8,35.3,23.9,17.6,165,OBESO
Hom,71.8,55.2,76.4,36.2,25.4,17.6,173.7,NORMAL
Hom,66.3,52.8,90.3,35.7,22.9,17,154.4,NORMAL
Hom,79.2,56.2,93.3,35,24.2,18.1,162.2,OBESO
Hom,88.1,55,103.3,36.5,25.6,19.7,176.8,OBESO
Hom,83.8,55.2,94.4,34.6,27,19.7,171.1,OBESO
Hom,70.9,58.6,80,34.8,25.6,17.6,168.5,NORMAL
Hom,76.9,58.3,85.5,35.7,25.5,18.7,170.2,NORMAL
Hom,75.8,55.8,87,37.6,24.9,18.3,172.8,NORMAL
Hom,69.3,60.1,83.3,36.1,23.5,17.2,160.6,NORMAL
Hom,63.4,48.9,76.4,32.3,25.2,18.3,173.7,NORMAL
Hom,66,49.4,88.9,33.8,25,18.4,166.9,NORMAL
Hom,56,56,,34.9,25,18,158.8,NORMAL
Hom,64.5,53,87.3,34.6,24.3,18.2,168.9,NORMAL
Hom,77.9,56.6,91.1,34.7,26.3,18.7,170.4,NORMAL
Hom,54.2,49.9,75.9,31.9,22.4,17,155.7,NORMAL
Hom,62.4,53,83.2,33.3,22.2,16.7,156.6,NORMAL
Hom,71.6,51.4,87.1,35,25.8,18.6,168.7,NORMAL
Hom,77.3,60.6,93.1,35.8,27,18.8,175.5,NORMAL
Hom,63,48.8,72.3,32.7,24.1,17.3,169.5,NORMAL
Hom,80.8,59.5,92.3,37.7,26.4,17.7,171.9,NORMAL
Hom,66,53.4,87.5,33.1,23.2,17.6,158,NORMAL
Hom,67,52.1,89,33.9,25.3,18.7,163.1,NORMAL
Hom,80.1,55.8,88.7,38.8,26.3,18.9,173.6,NORMAL
Hom,80.3,61.3,78.9,34.3,28.8,20.5,183,NORMAL
Hom,66,53.8,79.9,35.3,26.1,18.3,171.8,NORMAL
Hom,66.5,53.5,79.8,35.1,25.4,17.6,166.2,NORMAL
Hom,83,59,96.5,36.6,25.6,18.5,174.3,NORMAL
Hom,62,50.6,81.9,33.5,24.7,17.3,160.4,NORMAL
Hom,79,57.2,84.6,36.4,27.3,18.4,177.2,NORMAL
Hom,59,50.7,78.3,32.4,22.7,17.8,163.9,NORMAL
Hom,66,55.5,77.5,34.4,25.7,18.2,168.3,NORMAL
Hom,52,46.2,75.4,29.8,23.3,17.6,162,DELGADO
Hom,58,52,78.8,31.5,23.5,16.8,161.7,NORMAL
Hom,83,57.3,89.9,37.1,25.4,19,178.5,NORMAL
Hom,65,50,80.7,34.3,25.1,17.8,168.4,NORMAL
Hom,69.9,54.3,89.5,34.8,24.7,17.9,164.3,NORMAL
Hom,63,51.2,84.3,32.3,24.5,18,161.9,NORMAL
Hom,91.4,59.1,102,37.1,24.8,18.6,172.6,OBESO
Hom,73.4,53.4,91.2,34.7,24.1,17.8,164.7,NORMAL
